Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
TAYLORCRAFT BC-12D,41,41,6.0,6.0,15.0,34.0,TAYLORCRAFT,0.14634146341463414,Low
BEECH A35,41,41,27.0,27.0,9.0,36.0,BEECH,0.6585365853658537,High
CESSNA 210N,41,41,31.0,31.0,11.0,36.0,CESSNA,0.7560975609756098,High
BEECH B35,41,41,14.0,14.0,11.0,60.0,BEECH,0.34146341463414637,Medium
CESSNA 195A,41,41,9.0,9.0,1.0,72.0,CESSNA,0.21951219512195122,Medium
PIPER PA-16,41,41,8.0,8.0,4.0,49.0,PIPER,0.1951219512195122,Medium
PIPER PA-23,41,40,32.0,32.0,11.0,47.0,PIPER,0.8,High
GRUMMAN AA-5B,41,41,11.0,11.0,7.0,65.0,GRUMMAN,0.2682926829268293,Medium
BOEING B75N1,40,40,3.0,3.0,6.0,52.0,BOEING,0.075,Low
MOONEY M20M,40,40,23.0,23.0,5.0,41.0,MOONEY,0.575,Medium
PIPER PA-18A,40,40,8.0,8.0,13.0,32.0,PIPER,0.2,Medium
CESSNA U206F,40,40,39.0,39.0,19.0,36.0,CESSNA,0.975,High
ROBINSON R-22 BETA,39,39,19.0,19.0,16.0,34.0,ROBINSON,0.48717948717948717,Medium
CESSNA P210,39,39,20.0,20.0,8.0,32.0,CESSNA,0.5128205128205128,Medium
GRUMMAN AA-5A,39,39,10.0,10.0,15.0,47.0,GRUMMAN,0.2564102564102564,Medium
ROBINSON R22B,39,39,12.0,12.0,9.0,47.0,ROBINSON,0.3076923076923077,Medium
CESSNA 140A,39,39,8.0,8.0,8.0,43.0,CESSNA,0.20512820512820512,Medium
CESSNA 210D,39,39,12.0,12.0,12.0,43.0,CESSNA,0.3076923076923077,Medium
PIPER PA-14,39,39,4.0,4.0,8.0,59.0,PIPER,0.10256410256410256,Low
CESSNA 402B,38,35,36.0,36.0,11.0,48.0,CESSNA,1.0285714285714285,High
BEECH J35,38,38,27.0,27.0,9.0,33.0,BEECH,0.7105263157894737,High
SCHWEIZER 269C-1,38,38,3.0,3.0,4.0,46.0,SCHWEIZER,0.07894736842105263,Low
BEECH M35,38,37,18.0,18.0,6.0,41.0,BEECH,0.4864864864864865,Medium
CHAMPION 7GCAA,38,38,8.0,8.0,10.0,37.0,CHAMPION,0.21052631578947367,Medium
GRUMMAN AMERICAN AA-1B,38,38,9.0,9.0,21.0,21.0,GRUMMAN AMERICAN,0.23684210526315788,Medium
PIPER PA-23-150,38,38,17.0,17.0,21.0,59.0,PIPER,0.4473684210526316,Medium
