Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate
BOMBARDIER INC,CL 600 2C10,58.0,0.3333333333333333,0.0,0.0,3,6,0.3333333333333333,1.0,0.0,0.5,0.0,1.0
BOEING,727-225,57.92857142857143,0.5,2.0714285714285716,2.0714285714285716,4,14,17.071428571428573,68.28571428571429,8.285714285714286,0.2857142857142857,0.03310502283105023,0.9668949771689498
DOUGLAS,DC-9-30,57.6,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.6,0.0,1.0
DOUGLAS,DC-9-15,57.5,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,737-232,57.285714285714285,0.0,0.14285714285714285,0.14285714285714285,3,7,1.1428571428571428,3.4285714285714284,0.42857142857142855,0.42857142857142855,0.0024813895781637717,0.9975186104218362
BOEING,737-400,57.03333333333333,0.8333333333333334,5.5,5.5,15,30,44.833333333333336,672.5,82.5,0.5,0.07986447241045498,0.920135527589545
BOEING,727-223B,56.5,1.0,0.0,0.0,1,2,1.0,1.0,0.0,0.5,0.0,1.0
BRITISH AEROSPACE,BAE 146-200A,55.0,0.25,0.0,0.0,1,4,0.25,0.25,0.0,0.25,0.0,1.0
BOEING,B737-800,54.833333333333336,4.833333333333333,20.5,20.5,4,6,168.83333333333334,675.3333333333334,82.0,0.6666666666666666,0.20364238410596025,0.7963576158940397
BOMBARDIER,DHC-8-402,54.5,0.5,0.0,0.0,1,2,0.5,0.5,0.0,0.5,0.0,1.0
EMBRAER,EMB-145LR,54.38095238095238,0.42857142857142855,0.0,0.0,13,21,0.42857142857142855,5.571428571428571,0.0,0.6190476190476191,0.0,1.0
BOEING,737-217,54.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.25,0.0,1.0
FOKKER,F28 MK 4000,54.0,8.0,0.0,0.0,1,1,8.0,8.0,0.0,1.0,0.0,1.0
BOEING,707-323C,53.833333333333336,0.16666666666666666,0.0,0.0,4,6,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0
BOEING,727-225B,53.0,0.0,1.0,1.0,1,1,8.0,8.0,1.0,1.0,0.01818181818181818,0.9818181818181818
BOEING,B-737-300,52.25,0.0,33.0,33.0,3,4,264.0,792.0,99.0,0.75,0.27906976744186046,0.7209302325581395
BOEING,737,52.02658486707566,0.18609406952965235,2.756646216768916,2.756646216768916,135,489,22.23926380368098,3002.3006134969323,372.14723926380367,0.27607361963190186,0.04775400311747202,0.952245996882528
BOMBARDIER INC,DHC 8 311,52.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
BOMBARDIER,DHC-8-401,52.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,737-790,52.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
EMBRAER,EMB-145-LR,51.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
BOMBARDIER,CL-600-2D24,51.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
BOEING,737 - 800,50.333333333333336,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
BOEING,737-200,50.283018867924525,1.320754716981132,17.09433962264151,17.09433962264151,35,53,138.0754716981132,4832.641509433962,598.3018867924528,0.660377358490566,0.19925225423356058,0.8007477457664394
